DATE,DEXJPUS,DEXUSUK
2018-01-01,,
2018-01-02,112.18,1.3596
2018-01-03,112.28,1.3522
2018-01-04,112.78,1.3539
2018-01-05,113.18,1.3562
2018-01-08,113.08,1.3566
2018-01-09,112.57,1.3518
2018-01-10,111.48,1.3513
2018-01-11,111.35,1.3543
2018-01-12,111.23,1.3689
2018-01-15,,
2018-01-16,110.74,1.3774
2018-01-17,110.81,1.3824
2018-01-18,110.88,1.3889
2018-01-19,110.56,1.3857
2018-01-22,111.15,1.3944
2018-01-23,110.46,1.3968
2018-01-24,109.15,1.4198
2018-01-25,108.7,1.4264
2018-01-26,108.38,1.4179
2018-01-29,109.12,1.4042
2018-01-30,108.9,1.4124
2018-01-31,109.31,1.419
2018-02-01,109.5,1.4247
2018-02-02,110.4,1.4126
2018-02-05,110.09,1.4022
2018-02-06,109.18,1.3951
2018-02-07,109.53,1.3881
2018-02-08,109.0,1.3915
2018-02-09,108.44,1.3794
2018-02-12,108.72,1.382
2018-02-13,107.59,1.3892
2018-02-14,107.0,1.3955
2018-02-15,106.36,1.4061
2018-02-16,106.1,1.4055
2018-02-19,,
2018-02-20,107.23,1.4021
2018-02-21,107.64,1.3946
2018-02-22,106.96,1.3939
2018-02-23,106.64,1.3979
2018-02-26,106.96,1.3952
2018-02-27,107.47,1.3906
2018-02-28,106.62,1.3794
2018-03-01,106.91,1.3755
2018-03-02,105.65,1.3769
2018-03-05,105.97,1.3856
2018-03-06,106.03,1.3886
2018-03-07,105.94,1.3888
2018-03-08,106.08,1.3824
2018-03-09,106.74,1.3863
2018-03-12,106.52,1.3898
2018-03-13,106.64,1.3987
2018-03-14,106.17,1.3946
2018-03-15,106.07,1.3951
2018-03-16,106.1,1.3919
2018-03-19,105.83,1.4032
2018-03-20,106.42,1.4013
2018-03-21,106.3,1.4064
2018-03-22,105.34,1.4098
2018-03-23,104.83,1.4151
2018-03-26,105.0,1.4236
2018-03-27,105.72,1.4161
2018-03-28,106.3,1.411
2018-03-29,106.27,1.4029
2018-03-30,106.2,1.4027
2018-04-02,105.99,1.4032
2018-04-03,106.45,1.4068
2018-04-04,106.56,1.4076
2018-04-05,107.48,1.3991
2018-04-06,107.03,1.4088
2018-04-09,107.06,1.4136
2018-04-10,107.3,1.4161
2018-04-11,106.78,1.4194
2018-04-12,107.3,1.4244
2018-04-13,107.52,1.4255
2018-04-16,107.26,1.4332
2018-04-17,107.09,1.4301
2018-04-18,107.26,1.4227
2018-04-19,107.42,1.4193
2018-04-20,107.6,1.4033
2018-04-23,108.62,1.3953
2018-04-24,109.03,1.3975
2018-04-25,109.33,1.3941
2018-04-26,109.3,1.3927
2018-04-27,109.12,1.3785
2018-04-30,109.28,1.3751
2018-05-01,109.69,1.3611
2018-05-02,109.89,1.361
2018-05-03,109.06,1.3569
2018-05-04,109.16,1.3535
2018-05-07,109.14,1.3567
2018-05-08,109.16,1.3521
2018-05-09,109.68,1.3567
2018-05-10,109.53,1.3487
2018-05-11,109.26,1.3549
2018-05-14,109.52,1.3595
2018-05-15,110.25,1.3512
2018-05-16,110.22,1.3478
2018-05-17,110.76,1.3507
2018-05-18,110.71,1.3476
2018-05-21,111.08,1.3418
2018-05-22,110.94,1.3445
2018-05-23,110.05,1.3341
2018-05-24,109.3,1.3384
2018-05-25,109.35,1.3321
2018-05-28,,
2018-05-29,108.62,1.3258
2018-05-30,109.04,1.3296
2018-05-31,108.73,1.3289
2018-06-01,109.49,1.3358
2018-06-04,109.66,1.3314
2018-06-05,109.63,1.3359999999999999
2018-06-06,110.0,1.3429
2018-06-07,109.92,1.3427
2018-06-08,109.45,1.3406
2018-06-11,109.94,1.3386
