DATE,SP500,DJIA,VIXCLS
2018-01-01,,,
2018-01-02,2695.81,24824.01,9.77
2018-01-03,2713.06,24922.68,9.15
2018-01-04,2723.99,25075.13,9.22
2018-01-05,2743.15,25295.87,9.22
2018-01-08,2747.71,25283.0,9.52
2018-01-09,2751.29,25385.8,10.08
2018-01-10,2748.23,25369.13,9.82
2018-01-11,2767.56,25574.73,9.88
2018-01-12,2786.24,25803.19,10.16
2018-01-15,,,
2018-01-16,2776.42,25792.86,11.66
2018-01-17,2802.56,26115.65,11.91
2018-01-18,2798.03,26017.81,12.22
2018-01-19,2810.3,26071.72,11.27
2018-01-22,2832.97,26214.6,11.03
2018-01-23,2839.13,26210.81,11.1
2018-01-24,2837.54,26252.12,11.47
2018-01-25,2839.25,26392.79,11.58
2018-01-26,2872.87,26616.71,11.08
2018-01-29,2853.53,26439.48,13.84
2018-01-30,2822.43,26076.89,14.79
2018-01-31,2823.81,26149.39,13.54
2018-02-01,2821.98,26186.71,13.47
2018-02-02,2762.13,25520.96,17.31
2018-02-05,2648.94,24345.75,37.32
2018-02-06,2695.14,24912.77,29.98
2018-02-07,2681.66,24893.35,27.73
2018-02-08,2581.0,23860.46,33.46
2018-02-09,2619.55,24190.9,29.06
2018-02-12,2656.0,24601.27,25.61
2018-02-13,2662.94,24640.45,24.97
2018-02-14,2698.63,24893.49,19.26
2018-02-15,2731.2,25200.37,19.13
2018-02-16,2732.22,25219.38,19.46
2018-02-19,,,
2018-02-20,2716.26,24964.75,20.6
2018-02-21,2701.33,24797.78,20.02
2018-02-22,2703.96,24962.48,18.72
2018-02-23,2747.3,25309.99,16.49
2018-02-26,2779.6,25709.27,15.8
2018-02-27,2744.28,25410.03,18.59
2018-02-28,2713.83,25029.2,19.85
2018-03-01,2677.67,24608.98,22.47
2018-03-02,2691.25,24538.06,19.59
2018-03-05,2720.94,24874.76,18.73
2018-03-06,2728.12,24884.12,18.36
2018-03-07,2726.8,24801.36,17.76
2018-03-08,2738.97,24895.21,16.54
2018-03-09,2786.57,25335.74,14.64
