,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA
Date,,,,,,,,,,,,,,,,,,
2018-01-02,10.709175109863281,38.072208404541016,64.10600280761719,12.65999984741211,41.79999923706055,64.10600280761719,12.65999984741211,41.869998931884766,64.4219970703125,12.5,41.150001525878906,62.20000076293945,12.520000457763672,41.2400016784668,62.400001525878906,20773300,6934600,21761000
2018-01-03,10.793766975402832,39.00123977661133,63.45000076293945,12.760000228881836,42.81999969482422,63.45000076293945,12.800000190734863,42.95000076293945,65.05000305175781,12.670000076293945,42.20000076293945,63.11000061035156,12.680000305175781,42.209999084472656,64.19999694824219,29765600,14591600,22607500
2018-01-04,10.979865074157715,40.20352554321289,62.92399978637695,12.979999542236328,44.13999938964844,62.92399978637695,13.039999961853027,44.25,63.709999084472656,12.770000457763672,43.0099983215332,61.13600158691406,12.779999732971191,43.09000015258789,62.57400131225586,37478200,17298700,49731500
2018-01-05,11.165966987609863,40.08510971069336,63.316001892089844,13.199999809265137,44.0099983215332,63.316001892089844,13.220000267028809,44.63999938964844,63.448001861572266,13.039999961853027,43.959999084472656,62.400001525878906,13.0600004196167,44.5,63.32400131225586,46121900,9643300,22956000
2018-01-08,11.123668670654297,40.276390075683594,67.28199768066406,13.149999618530273,44.220001220703125,67.28199768066406,13.220000267028809,44.59000015258789,67.40399932861328,13.109999656677246,43.52000045776367,63.099998474121094,13.210000038146973,44.040000915527344,63.20000076293945,33828300,13099600,49297000
2018-01-09,11.06445598602295,40.12154769897461,66.73799896240234,13.079999923706055,44.04999923706055,66.73799896240234,13.220000267028809,44.59000015258789,67.76000213623047,13.079999923706055,43.7400016784668,65.4800033569336,13.180000305175781,44.310001373291016,67.03199768066406,27924100,7768100,35733000
2018-01-10,11.022161483764648,39.16519546508789,66.95999908447266,13.029999732971191,43.0,66.95999908447266,13.140000343322754,44.13999938964844,67.4000015258789,12.960000038146973,42.61000061035156,66.0,13.0600004196167,43.84000015258789,66.44000244140625,56517100,18281500,21549500
2018-01-11,11.132128715515137,40.24906539916992,67.58999633789062,13.15999984741211,44.189998626708984,67.58999633789062,13.199999809265137,44.27000045776367,68.96199798583984,13.0,43.15999984741211,66.6520004272461,13.020000457763672,43.279998779296875,67.0479965209961,28342300,11245800,33227500
2018-01-12,11.191341400146484,40.13976287841797,67.24400329589844,13.229999542236328,44.06999969482422,67.24400329589844,13.289999961853027,44.70000076293945,68.08200073242188,13.100000381469727,43.65999984741211,66.73400115966797,13.100000381469727,44.150001525878906,67.72599792480469,56979200,14914600,24125500
